i = 1; pos = [1,2]
i = 2; pos = [2,2]
i = 3; pos = [1,1]
i = 4; pos = [3,2]
i = 5; pos = [2,1]
i = 6; pos = [3,3]
i = 7; pos = [3,1]
i = 8; pos = [3,4]
i = 9; pos = [4,4]
i = 10; pos = [2,4]
i = 11; pos = [3,5]
i = 12; pos = [5,4]
i = 13; pos = [4,5]
i = 14; pos = [1,4]
i = 15; pos = [2,5]
i = 16; pos = [5,5]
i = 17; pos = [5,3]
i = 18; pos = [1,5]
i = 19; pos = [5,6]
i = 20; pos = [5,2]
i = 21; pos = [5,7]
i = 22; pos = [6,2]
i = 23; pos = [5,1]
i = 24; pos = [4,7]
i = 25; pos = [5,8]
i = 26; pos = [7,2]
i = 27; pos = [6,1]
i = 28; pos = [3,7]
i = 29; pos = [4,8]
i = 30; pos = [8,2]
i = 31; pos = [7,3]
i = 32; pos = [7,1]
i = 33; pos = [3,8]
i = 34; pos = [9,2]
i = 35; pos = [8,1]
i = 36; pos = [7,4]
i = 37; pos = [3,9]
i = 38; pos = [10,2]
i = 39; pos = [9,3]
i = 40; pos = [9,1]
i = 41; pos = [7,5]
i = 42; pos = [3,10]
i = 43; pos = [11,2]
i = 44; pos = [10,1]
i = 45; pos = [9,4]
i = 46; pos = [7,6]
i = 47; pos = [4,10]
i = 48; pos = [3,11]
i = 49; pos = [11,1]
i = 50; pos = [10,4]
i = 51; pos = [9,5]
i = 52; pos = [7,7]
i = 53; pos = [5,10]
i = 54; pos = [4,11]
i = 55; pos = [11,4]
i = 56; pos = [10,5]
i = 57; pos = [9,6]
i = 58; pos = [7,8]
i = 59; pos = [5,11]
i = 60; pos = [12,4]
i = 61; pos = [11,5]
i = 62; pos = [9,7]
i = 63; pos = [7,9]
i = 64; pos = [5,12]
i = 65; pos = [13,4]
i = 66; pos = [12,5]
i = 67; pos = [9,8]
i = 68; pos = [7,10]
i = 69; pos = [5,13]
i = 70; pos = [13,5]
i = 71; pos = [13,3]
i = 72; pos = [8,10]
i = 73; pos = [7,11]
i = 74; pos = [4,13]
i = 75; pos = [5,14]
i = 76; pos = [13,2]
i = 77; pos = [9,10]
i = 78; pos = [8,11]
i = 79; pos = [7,12]
i = 80; pos = [3,13]
i = 81; pos = [4,14]
i = 82; pos = [14,2]
i = 83; pos = [13,1]
i = 84; pos = [10,10]
i = 85; pos = [9,11]
i = 86; pos = [7,13]
i = 87; pos = [2,13]
i = 88; pos = [3,14]
i = 89; pos = [15,2]
i = 90; pos = [14,1]
i = 91; pos = [11,10]
i = 92; pos = [10,11]
i = 93; pos = [8,13]
i = 94; pos = [7,14]
i = 95; pos = [1,13]
i = 96; pos = [2,14]
i = 97; pos = [3,15]
i = 98; pos = [15,1]
i = 99; pos = [12,10]
i = 100; pos = [11,11]
i = 101; pos = [9,13]
i = 102; pos = [8,14]
i = 103; pos = [1,14]
i = 104; pos = [1,12]
i = 105; pos = [3,16]
i = 106; pos = [13,10]
i = 107; pos = [12,11]
i = 108; pos = [9,14]
i = 109; pos = [1,11]
i = 110; pos = [2,16]
i = 111; pos = [3,17]
i = 112; pos = [13,11]
i = 113; pos = [13,9]
i = 114; pos = [1,10]
i = 115; pos = [1,16]
i = 116; pos = [2,17]
i = 117; pos = [3,18]
i = 118; pos = [13,12]
i = 119; pos = [13,8]
i = 120; pos = [1,9]
i = 121; pos = [1,17]
i = 122; pos = [3,19]
i = 123; pos = [13,13]
i = 124; pos = [12,8]
i = 125; pos = [13,7]
i = 126; pos = [1,8]
i = 127; pos = [4,19]
i = 128; pos = [2,19]
i = 129; pos = [3,20]
i = 130; pos = [12,13]
i = 131; pos = [13,14]
i = 132; pos = [11,8]
i = 133; pos = [12,7]
i = 134; pos = [1,7]
i = 135; pos = [5,19]
i = 136; pos = [4,20]
i = 137; pos = [1,19]
i = 138; pos = [2,20]
i = 139; pos = [11,13]
i = 140; pos = [12,14]
i = 141; pos = [13,15]
i = 142; pos = [11,7]
i = 143; pos = [5,20]
i = 144; pos = [1,20]
i = 145; pos = [11,14]
i = 146; pos = [13,16]
i = 147; pos = [5,21]
i = 148; pos = [1,21]
i = 149; pos = [14,16]
i = 150; pos = [13,17]
i = 151; pos = [5,22]
i = 152; pos = [1,22]
i = 153; pos = [15,16]
i = 154; pos = [14,17]
i = 155; pos = [13,18]
i = 156; pos = [4,22]
i = 157; pos = [5,23]
i = 158; pos = [1,23]
i = 159; pos = [15,17]
i = 160; pos = [15,15]
i = 161; pos = [13,19]
i = 162; pos = [3,22]
i = 163; pos = [4,23]
i = 164; pos = [1,24]
i = 165; pos = [15,14]
i = 166; pos = [14,19]
i = 167; pos = [12,19]
i = 168; pos = [13,20]
i = 169; pos = [3,23]
i = 170; pos = [1,25]
i = 171; pos = [15,13]
i = 172; pos = [15,19]
i = 173; pos = [14,20]
i = 174; pos = [11,19]
i = 175; pos = [12,20]
i = 176; pos = [13,21]
i = 177; pos = [1,26]
i = 178; pos = [15,12]
i = 179; pos = [15,20]
i = 180; pos = [10,19]
i = 181; pos = [11,20]
i = 182; pos = [13,22]
i = 183; pos = [1,27]
i = 184; pos = [15,11]
i = 185; pos = [15,21]
i = 186; pos = [9,19]
i = 187; pos = [10,20]
i = 188; pos = [12,22]
i = 189; pos = [13,23]
i = 190; pos = [1,28]
i = 191; pos = [16,11]
i = 192; pos = [15,10]
i = 193; pos = [15,22]
i = 194; pos = [8,19]
i = 195; pos = [9,20]
i = 196; pos = [9,18]
i = 197; pos = [11,22]
i = 198; pos = [12,23]
i = 199; pos = [2,28]
i = 200; pos = [1,29]
i = 201; pos = [17,11]
i = 202; pos = [16,10]
i = 203; pos = [15,23]
i = 204; pos = [7,19]
i = 205; pos = [8,20]
i = 206; pos = [9,17]
i = 207; pos = [11,23]
i = 208; pos = [3,28]
i = 209; pos = [2,29]
i = 210; pos = [17,10]
i = 211; pos = [15,24]
i = 212; pos = [7,20]
i = 213; pos = [7,18]
i = 214; pos = [10,17]
i = 215; pos = [9,16]
i = 216; pos = [11,24]
i = 217; pos = [4,28]
i = 218; pos = [3,29]
i = 219; pos = [3,27]
i = 220; pos = [17,9]
i = 221; pos = [15,25]
i = 222; pos = [7,21]
i = 223; pos = [7,17]
i = 224; pos = [11,17]
i = 225; pos = [10,16]
i = 226; pos = [11,25]
i = 227; pos = [5,28]
i = 228; pos = [4,29]
i = 229; pos = [3,26]
i = 230; pos = [17,8]
i = 231; pos = [16,25]
i = 232; pos = [14,25]
i = 233; pos = [15,26]
i = 234; pos = [7,22]
i = 235; pos = [6,17]
i = 236; pos = [7,16]
i = 237; pos = [11,16]
i = 238; pos = [10,25]
i = 239; pos = [11,26]
i = 240; pos = [6,28]
i = 241; pos = [5,29]
i = 242; pos = [4,26]
i = 243; pos = [3,25]
i = 244; pos = [18,8]
i = 245; pos = [16,8]
i = 246; pos = [17,7]
i = 247; pos = [17,25]
i = 248; pos = [16,26]
i = 249; pos = [13,25]
i = 250; pos = [14,26]
i = 251; pos = [15,27]
i = 252; pos = [7,23]
i = 253; pos = [5,17]
i = 254; pos = [6,16]
i = 255; pos = [9,25]
i = 256; pos = [10,26]
i = 257; pos = [7,28]
i = 258; pos = [6,29]
i = 259; pos = [5,26]
i = 260; pos = [4,25]
i = 261; pos = [19,8]
i = 262; pos = [18,7]
i = 263; pos = [15,8]
i = 264; pos = [16,7]
i = 265; pos = [17,6]
i = 266; pos = [17,26]
i = 267; pos = [17,24]
i = 268; pos = [13,26]
i = 269; pos = [15,28]
i = 270; pos = [5,16]
i = 271; pos = [9,26]
i = 272; pos = [9,24]
i = 273; pos = [7,29]
i = 274; pos = [6,26]
i = 275; pos = [5,25]
i = 276; pos = [19,7]
i = 277; pos = [15,7]
i = 278; pos = [17,5]
i = 279; pos = [17,27]
i = 280; pos = [17,23]
i = 281; pos = [15,29]
i = 282; pos = [9,27]
i = 283; pos = [9,23]
i = 284; pos = [7,26]
i = 285; pos = [6,25]
i = 286; pos = [19,6]
i = 287; pos = [16,5]
i = 288; pos = [17,4]
i = 289; pos = [17,28]
i = 290; pos = [18,23]
i = 291; pos = [17,22]
i = 292; pos = [9,28]
i = 293; pos = [9,22]
i = 294; pos = [7,25]
i = 295; pos = [19,5]
i = 296; pos = [15,5]
i = 297; pos = [16,4]
i = 298; pos = [17,29]
i = 299; pos = [19,23]
i = 300; pos = [18,22]
i = 301; pos = [10,28]
i = 302; pos = [9,29]
i = 303; pos = [19,4]
i = 304; pos = [15,4]
i = 305; pos = [19,24]
i = 306; pos = [19,22]
i = 307; pos = [11,28]
i = 308; pos = [10,29]
i = 309; pos = [19,3]
i = 310; pos = [19,25]
i = 311; pos = [19,21]
i = 312; pos = [12,28]
i = 313; pos = [11,29]
i = 314; pos = [19,2]
i = 315; pos = [19,26]
i = 316; pos = [19,20]
i = 317; pos = [13,28]
i = 318; pos = [12,29]
i = 319; pos = [18,2]
i = 320; pos = [19,1]
i = 321; pos = [19,27]
i = 322; pos = [18,20]
i = 323; pos = [19,19]
i = 324; pos = [13,29]
i = 325; pos = [17,2]
i = 326; pos = [18,1]
i = 327; pos = [19,28]
i = 328; pos = [17,20]
i = 329; pos = [18,19]
i = 330; pos = [17,1]
i = 331; pos = [19,29]
i = 332; pos = [2,3]
i = 333; pos = [3,3]
i = 334; pos = [4,3]
i = 335; pos = [4,4]
i = 336; pos = [4,5]
i = 337; pos = [5,5]
i = 338; pos = [6,5]
i = 339; pos = [6,4]
i = 340; pos = [6,3]
i = 341; pos = [7,3]
i = 342; pos = [8,3]
i = 343; pos = [8,4]
i = 344; pos = [8,5]
i = 345; pos = [8,6]
i = 346; pos = [8,7]
i = 347; pos = [8,8]
i = 348; pos = [8,9]
i = 349; pos = [8,10]
i = 350; pos = [8,11]
i = 351; pos = [9,11]
i = 352; pos = [10,11]
i = 353; pos = [11,11]
i = 354; pos = [12,11]
i = 355; pos = [13,11]
i = 356; pos = [14,11]
i = 357; pos = [14,12]
i = 358; pos = [14,13]
i = 359; pos = [14,14]
i = 360; pos = [14,15]
i = 361; pos = [14,16]
i = 362; pos = [14,17]
i = 363; pos = [14,18]
i = 364; pos = [14,19]
i = 365; pos = [14,20]
i = 366; pos = [15,20]
i = 367; pos = [16,20]
i = 368; pos = [16,21]
i = 369; pos = [16,22]
i = 370; pos = [16,23]
i = 371; pos = [16,24]
i = 372; pos = [16,25]
